Date,Benchmark
2009-09-04,5124.88
2009-09-07,5240.3
2009-09-08,5247.78
2009-09-09,5242.18
2009-09-10,5238.38
2009-09-11,5229.9
2009-09-14,5223.47
2009-09-15,5309.07
2009-09-16,5370.98
2009-09-17,5376.49
2009-09-18,5406.31
2009-09-22,5438.89
2009-09-23,5384.17
2009-09-24,5401.01
2009-09-25,5401.62
2009-09-29,5442.73
2009-09-30,5505.04
2009-10-01,5505.55
2009-10-05,5408.86
2009-10-06,5410.55
2009-10-07,5403.85
2009-10-08,5426.0
2009-10-09,5385.94
2009-10-12,5480.16
2009-10-14,5559.8
2009-10-15,5568.09
2009-10-16,5609.27
2009-10-17,5625.43
2009-10-20,5606.9
2009-10-21,5553.28
2009-10-22,5468.68
2009-10-23,5488.66
2009-10-26,5439.22
2009-10-27,5295.48
2009-10-28,5281.23
2009-10-29,5192.46
2009-10-30,5152.97
2009-11-03,4984.83
2009-11-04,5130.29
2009-11-05,5215.33
2009-11-06,5283.7
2009-11-09,5385.88
2009-11-10,5396.47
2009-11-11,5525.23
2009-11-12,5462.67
2009-11-13,5503.32
2009-11-16,5567.28
2009-11-17,5565.42
2009-11-18,5570.78
2009-11-19,5496.65
2009-11-20,5547.65
2009-11-23,5592.11
2009-11-24,5589.51
2009-11-25,5597.19
2009-11-26,5512.63
2009-11-27,5442.62
2009-11-30,5544.82
2009-12-01,5639.77
2009-12-02,5650.08
2009-12-03,5680.95
2009-12-04,5669.82
2009-12-07,5617.49
2009-12-08,5691.44
2009-12-09,5669.68
2009-12-10,5695.91
2009-12-11,5675.32
2009-12-14,5660.02
2009-12-15,5582.18
2009-12-16,5587.71
2009-12-17,5603.95
2009-12-18,5555.3
2009-12-21,5527.63
2009-12-22,5579.3
2009-12-23,5721.53
2009-12-24,5755.88
2009-12-29,5769.13
2009-12-30,5764.6
2009-12-31,5794.34
2010-01-04,5846.16
2010-01-05,5910.99
2010-01-06,5919.82
2010-01-07,5904.93
2010-01-08,5896.59
2010-01-11,5933.16
2010-01-12,5878.63
2010-01-13,5910.61
2010-01-14,5957.25
2010-01-15,5980.93
2010-01-18,6023.08
2010-01-19,5982.6
2010-01-20,5961.69
2010-01-21,5813.91
2010-01-22,5770.41
2010-01-25,5727.39
2010-01-27,5522.82
2010-01-28,5538.95
2010-01-29,5563.86
2010-02-01,5618.39
2010-02-02,5540.8
2010-02-03,5640.1
2010-02-04,5543.78
2010-02-05,5388.92
2010-02-06,5446.78
2010-02-08,5447.37
2010-02-09,5497.02
2010-02-10,5464.54
2010-02-11,5523.38
2010-02-15,5486.68
2010-02-16,5538.18
2010-02-17,5587.61
2010-02-18,5553.36
2010-02-19,5495.54
2010-02-22,5484.33
2010-02-23,5478.25
2010-02-24,5466.15
2010-02-25,5455.03
2010-02-26,5529.01
2010-03-02,5615.73
2010-03-03,5692.83
2010-03-04,5709.57
2010-03-05,5720.18
2010-03-08,5743.6
2010-03-09,5696.23
2010-03-10,5698.3
2010-03-11,5697.03
2010-03-12,5697.81
2010-03-15,5671.3
2010-03-16,5725.18
2010-03-17,5766.1
2010-03-18,5771.43
2010-03-19,5794.77
2010-03-22,5734.08
2010-03-23,5745.81
2010-03-25,5754.44
2010-03-26,5780.67
2010-03-29,5791.4
2010-03-30,5781.06
2010-03-31,5781.09
2010-04-01,5823.93
2010-04-05,5902.6
2010-04-06,5911.24
2010-04-07,5930.9
2010-04-08,5873.05
2010-04-09,5911.16
2010-04-12,5890.59
2010-04-13,5876.71
2010-04-15,5844.64
2010-04-16,5821.66
2010-04-19,5751.88
2010-04-20,5791.49
2010-04-21,5824.57
2010-04-22,5841.0
2010-04-23,5857.63
2010-04-26,5877.51
2010-04-27,5870.16
2010-04-28,5785.4
2010-04-29,5816.53
2010-04-30,5856.5
2010-05-03,5820.62
2010-05-04,5735.65
2010-05-05,5727.18
2010-05-06,5707.41
2010-05-07,5607.58
2010-05-10,5765.49
2010-05-11,5700.33
2010-05-12,5718.98
2010-05-13,5755.08
2010-05-14,5682.79
2010-05-17,5651.34
2010-05-18,5656.97
2010-05-19,5508.4
2010-05-20,5545.12
2010-05-21,5502.38
2010-05-24,5514.69
2010-05-25,5368.62
2010-05-26,5461.58
2010-05-27,5535.62
2010-05-28,5617.6
2010-05-31,5670.98
2010-06-01,5567.02
2010-06-02,5621.59
2010-06-03,5707.09
2010-06-04,5720.93
2010-06-07,5622.36
